X,Y,OBJECTID,GLOBAL_ID,NAME,LATITUDE,LONGITUDE,CITY,STATE,STATUS_CODE,OPENING_ON
-83.048830556,42.3392777780001,110,ACEF4C5B-12EE-4F1C-96B3-A53020748258,Comerica Park,42-20-21.40N,083-02-55.79W,Detroit,MI,Open,
-92.330088889,34.74985,111,F65A8C33-155E-4C60-877F-5D8FE0D8291E,War Memorial Stadium (Arkansas),34-44-59.46N,092-19-48.32W,Little Rock,AR,Open,
-76.507058333,38.9847500000001,112,7F4C1B26-6BC1-4140-B524-E196DB9E1025,Navy-Marine Corps Memorial Stadium,38-59-05.10N,076-30-25.41W,Annapolis,MD,Open,
-115.0103,36.272483333,113,D7D5FDC5-78C6-4F87-98F6-71162CEA2F8E,Las Vegas Motor Speedway,36-16-20.94N,115-00-37.08W,Las Vegas,NV,Open,
-96.7055999999999,40.820619444,114,C60C7890-9670-41D0-B4CB-DE1AA7DD502F,Memorial Stadium (Nebraska),40-49-14.23N,096-42-20.16W,Lincoln,NE,Open,
-86.525608333,39.1808888890001,115,B7479AE5-54B3-40D5-BEC2-91C905DF5499,Memorial Stadium (Indiana),39-10-51.20N,086-31-32.19W,Bloomington,IN,Open,
-86.2338999999999,41.698369444,116,33DC987D-C0B3-4129-AF74-579A3BCCEC41,Notre Dame Stadium,41-41-54.13N,086-14-02.04W,Notre Dame,IN,Open,
-93.635758333,42.0139888890001,117,FCE1CC31-CC92-404E-A3B8-87F442AB5242,Jack Trice Stadium,42-00-50.36N,093-38-08.73W,Ames,IA,Open,
-81.699572222,41.5060250000001,118,35F1F2CF-41F7-49D3-BCB4-3143DF255B5A,Huntington Bank Field,41-30-21.69N,081-41-58.46W,Cleveland,OH,Open,
-81.685297222,41.495786111,119,C227CA26-6125-49DE-9538-B8E383B68769,Progressive Field,41-29-44.83N,081-41-07.07W,Cleveland,OH,Open,
-79.047888889,35.9069388890001,120,D3D480E0-1FD3-426E-8F09-FA969121712A,Kenan Memorial Stadium,35-54-24.98N,079-02-52.40W,Chapel Hill,NC,Open,
-101.872916667,33.591083333,121,F7513EBB-0ACA-436D-AF3C-A0B82535A728,Jones AT&T Stadium,33-35-27.90N,101-52-22.50W,Lubbock,TX,Open,
-84.505169444,38.022738889,122,04B0E1E7-D02E-4814-B0F3-C9BE2D246462,Kroger Field,38-01-21.86N,084-30-18.61W,Lexington,KY,Open,
-94.1789388889999,36.0680888890001,123,4513E433-C381-4779-9DC3-7F3137CB21FD,Donald W. Reynolds Razorback Stadium,36-04-05.12N,094-10-44.18W,Fayetteville,AR,Open,
-84.51605,39.0954583330001,124,689C23A4-B260-4A66-B210-CA4003B1F3E0,Paycor Stadium,39-05-43.65N,084-30-57.78W,Cincinnati,OH,Open,
-78.941727778,35.995327778,125,805EEBB5-5445-4596-8742-AF2CDCD874AA,Wallace Wade Stadium,35-59-43.18N,078-56-30.22W,Durham,NC,Open,
-77.4200888889999,37.5917388890001,126,FC9164A7-0764-4A37-A3CF-54BD666E19D0,Richmond Raceway,37-35-30.26N,077-25-12.32W,Richmond,VA,Open,
-95.2463361109999,38.963044444,127,9564EA07-E1E7-4250-A204-03DF103CA2FC,David Booth Kansas Memorial Stadium,38-57-46.96N,095-14-46.81W,Lawrence,KS,Open,
-84.317852778,33.383730556,128,75806964-84A7-40CF-8F57-9FB852C9CEEC,Atlanta Motor Speedway,33-23-01.43N,084-19-04.27W,Hampton,GA,Open,
-84.915597222,38.7106833330001,129,12E76DB0-4001-47ED-8683-6AC1DDF16A6A,Kentucky Speedway,38-42-38.46N,084-54-56.15W,Sparta,KY,Open,
-95.9437583329999,36.1488694440001,130,D2F759EE-E1E3-4FB3-B369-E518AE4BBCF2,Skelly Field at H.A. Chapman Stadium,36-08-55.93N,095-56-37.53W,Tulsa,OK,Open,
-87.63365,41.8298500000001,131,18EAF107-7F1D-4620-89C7-E0D25E647A9E,Rate Field,41-49-47.46N,087-38-01.14W,Chicago,IL,Open,
-104.843477778,38.997058333,132,DE2CF953-E1DA-4FFD-87B9-6D086FA1027F,Falcon Stadium,38-59-49.41N,104-50-36.52W,USAFA,CO,Open,
-86.2348499999999,39.7949,133,1CCB187E-87AB-44AC-9236-08AA7C78CEF4,Indianapolis Motor Speedway,39-47-41.64N,086-14-05.46W,Indianapolis,IN,Open,
-86.808922222,36.1440277780001,134,2449DF3E-E588-4504-86CD-4B4D5F81B5FF,FirstBank Stadium,36-08-38.50N,086-48-32.12W,Nashville,TN,Open,
-97.9255388889999,29.8910611110001,135,E935027B-3DC7-4693-8F3C-CD9649461096,Jim Wacker Field at UFCU Stadium,29-53-27.82N,097-55-31.94W,San Marcos,TX,Open,
-85.758788889,38.2059,136,50916EE4-EAAE-4C62-A772-6C7FF59E3F91,L&N Federal Credit Union Stadium,38-12-21.24N,085-45-31.64W,Louisville,KY,Open,
-88.793377778,33.4563666670001,137,25B676C5-4451-4B65-97E8-C1D09D6C52C0,Davis Wade Stadium,33-27-22.92N,088-47-36.16W,Starkville,MS,Open,
-111.932527778,33.426408333,138,70A74187-C115-495D-AC83-B43161583A6F,Mountain America Stadium,33-25-35.07N,111-55-57.10W,Tempe,AZ,Open,
-118.167577778,34.161288889,139,2D22BAD8-9342-455F-9FD8-9BA191CC34B7,Rose Bowl,34-09-40.64N,118-10-03.28W,Pasadena,CA,Open,
-97.066444444,36.1256666670001,140,446F812C-DC7F-4A06-B27B-E95E457B4D86,Boone Pickens Stadium,36-07-32.40N,097-03-59.20W,Stillwater,OK,Open,
-84.39285,33.7725,141,F23E798A-1FA2-4F0B-A28D-2088DA3D0528,Bobby Dodd Stadium at Hyundai Field,33-46-21.00N,084-23-34.26W,Atlanta,GA,Open,
